lane1 det1;lane1 det2;lane2 det1;lane2 det2;lane3 det1;lane3 det2
85.42;84.33999999999999;85.92;87.19;87.35;87.67999999999999
85.68;84.33999999999999;85.92;87.19;87.34;87.67999999999999
85.68;84.33999999999999;85.92;87.19;87.34;87.67999999999999
85.63;84.46999999999998;86.91;87.24;87.48;87.81
85.60000000000001;84.91;86.63;87.27000000000001;87.54;87.81
85.72;84.68999999999998;86.66;87.95;85.91;87.81
85.72;84.68999999999998;86.66;87.95;85.91;87.81
86.02000000000001;85.09;86.82;86.43;65.57;87.87
85.72;85.53;86.05999999999999;86.8;59.269999999999996;82.1
85.88;85.64000000000001;85.74;86.3;60.64;66.22
85.66;85.57000000000001;83.29;87.07000000000001;72.66999999999999;65.72999999999999
85.66;85.57000000000001;83.29;87.07000000000001;72.66999999999999;65.72999999999999
85.87;85.69000000000001;84.25000000000001;85.43999999999998;58.839999999999996;61.1
85.93;85.58;83.95000000000002;85.71000000000001;57.86;62.089999999999996
85.92999999999999;84.79999999999998;86.2;85.52;59.9;61.44
85.92999999999999;84.79999999999998;86.2;85.6;59.9;61.44
85.95;85.55;86.93;86.35;67.56;61.98
85.97;85.46000000000001;87.0;86.74;83.92;64.03999999999999
85.84;85.44;86.88;86.45;84.99;75.99000000000001
85.84;85.44;86.9;86.47;85.15;75.99000000000001
65.44;85.47;86.78;86.5;85.15;85.13000000000001
58.660000000000004;85.15;86.55;86.5;84.99;85.13000000000001
56.4;75.35;92.97000000000001;86.43999999999998;85.02;85.13000000000001
56.4;75.35;92.97000000000001;86.43999999999998;85.02;85.13000000000001
55.489999999999995;59.959999999999994;82.2;88.10999999999999;85.11;85.13000000000001
55.029999999999994;59.21999999999999;83.38;80.79;84.87;85.13000000000001
53.730000000000004;56.14;80.76;83.39;86.84;87.32000000000001
53.730000000000004;56.14;80.76;83.39;86.75;87.2
61.080000000000005;56.730000000000004;81.3;73.01;86.75;87.2
83.47999999999999;54.20000000000001;91.69;68.43999999999998;86.75;87.2
